slug,title,author,source_language,planned_target_languages,period,genre,priority,status,source_provenance,translation_plan,license_status,notes
pausanias-description-of-greece,Description of Greece,Pausanias,Ancient Greek,English; French; German; Italian,2nd century CE,geography ethnography,high,bootstrap,Existing Pausanias project database on raksasa,Machine-generated bootstrap English rows only; paper-facing analyses need existing published translations,project-internal,First bootstrap corpus with aligned passages already available.
herodotus-histories,Histories,Herodotus,Ancient Greek,English; French; German; Italian,5th century BCE,history ethnography,high,candidate,Perseus or other public-domain Greek edition,Existing public-domain translations to be confirmed by target language and publication date,needs-review,Good comparison for ethnography place and narrative expansion.
thucydides-peloponnesian-war,History of the Peloponnesian War,Thucydides,Ancient Greek,English; French; German; Italian,5th century BCE,history politics war,high,candidate,Perseus or public-domain Greek edition,Existing public-domain translations to be confirmed by target language and publication date,needs-review,Compressed political and military prose.
homer-iliad,Iliad,Homer,Ancient Greek,English; French; German; Italian,archaic Greek,epic poetry,high,candidate,Perseus or public-domain Greek edition,Multiple existing public-domain translations to be compared by target language and publication date,needs-review,Formulaic epic and heroic vocabulary.
homer-odyssey,Odyssey,Homer,Ancient Greek,English; French; German; Italian,archaic Greek,epic poetry,high,candidate,Perseus or public-domain Greek edition,Multiple existing public-domain translations to be compared by target language and publication date,needs-review,Formulaic epic with domestic travel and recognition language.
hesiod-theogony,Theogony,Hesiod,Ancient Greek,English; French; German; Italian,archaic Greek,didactic mythic poetry,high,candidate,Public-domain Greek edition,Existing public-domain translations to be confirmed by target language and publication date,needs-review,Mythic genealogy and divine ordering.
hesiod-works-and-days,Works and Days,Hesiod,Ancient Greek,English; French; German; Italian,archaic Greek,didactic poetry,medium,candidate,Public-domain Greek edition,Existing public-domain translations to be confirmed by target language and publication date,needs-review,Labour justice season and moral vocabulary.
strabo-geography,Geography,Strabo,Ancient Greek,English; French; German; Italian,1st century BCE/CE,geography ethnography,high,candidate,Public-domain Greek edition,Existing public-domain translations to be confirmed by target language and publication date,needs-review,Direct genre comparison with Pausanias.
plato-apology,Apology,Plato,Ancient Greek,English; French; German; Italian,4th century BCE,philosophy forensic prose,high,candidate,Perseus or public-domain Greek edition,Multiple existing public-domain translations with dates,needs-review,Compact philosophical and legal argument.
plato-phaedo,Phaedo,Plato,Ancient Greek,English; French; German; Italian,4th century BCE,philosophy dialogue,medium,candidate,Perseus or public-domain Greek edition,Multiple existing public-domain translations with dates,needs-review,Soul death argument and philosophical terms.
